state,county,p25,p50,p75,p95
FL,Duval,199075,290500,445000,1327500
FL,Broward,250000,440000,665000,1475000
FL,Alachua,213000,325000,495475,1373200
FL,St. Johns,339675,468250,670000,1275000
FL,Bay,275000,355000,485000,1016550
FL,Leon,192000,288750,432250,845000
FL,Brevard,261000,344000,500000,1059500
FL,Pasco,230000,327000,431300,772000
FL,Seminole,305000,400000,562500,1049610
FL,Palm Beach,279875,461250,742536,2150000
FL,Osceola,309250,375000,487495,753899
FL,Hillsborough,295523,390050,550000,1325000
FL,Pinellas,250000,378000,575000,1197000
FL,Manatee,309000,410000,606500,1424500
FL,Sarasota,284000,389000,625400,1652000
FL,Lee,280000,350000,500000,1044000
