county,mode,age,income,home_value,wind_avg,storm_count,education,preparedness,risk_response,kids,employment,status,flood_zone,elevation_diff,flood_depth,construction_year,ownership
Duval,base,50,33000,290500,70.4,133,"Some college, no degree",Individuals who are Prepared,Likely,1.0,employed,Single,X,,0.0,1986,own
Duval,max,95,1258000,1327500,160.0,133,Bachelor's degree,Very likely,Very likely,2.0,employed,Married with spouse present,X,,0.0,1986,own
Duval,min,18,4,199075,25.0,133,"Some college, no degree",Individuals who are Prepared,Likely,0.0,unemployed,Single,X,,0.0,1986,rent
Duval,random,84,30000,249948,70.0,133,Bachelor's degree,Individuals who are Prepared,Likely,0.0,employed,Single,AE,,,1997,rent
Duval,random,52,53000,348819,90.0,133,Associate's degree,Individuals who are Prepared,Very likely,2.0,employed,Married with spouse present,AE,,,1997,own
Broward,base,52,35000,440000,72.8,134,Bachelor's degree,Individuals who are Prepared,Very likely,1.0,employed,Single,AHB,0.0,1.0,1969,own
Broward,max,95,1514800,1475000,160.0,134,Post graduate work/degree or professional degree,Very likely,Very likely,4.0,employed,Married with spouse present,AHB,3.0,0.0,1980,own
Broward,min,18,1,250000,25.0,134,Less than high school diploma,Individuals who are Prepared,Unlikely,0.0,unemployed,Single,AHB,3.0,0.0,1980,rent
Broward,random,70,49400,468736,35.0,134,Bachelor's degree,Individuals who are Prepared,Very likely,0.0,not in labor force,Divorced,AHB,0.0,,1966,own
Broward,random,50,53100,585875,115.0,134,Bachelor's degree,Individuals with Intent to Prepare,,0.0,employed,Married with spouse present,AHB,3.0,0.0,1980,rent
Alachua,base,42,29400,325000,70.0,131,High school degree or diploma,Unknown,Likely,0.0,employed,Single,AE,1.0,0.0,2017,own
Alachua,max,95,981000,1373200,160.0,131,Bachelor's degree,Very likely,Very likely,2.0,employed,Married with spouse present,AOB,1.0,0.0,1919,own
Alachua,min,18,4,213000,25.0,131,High school degree or diploma,Individuals who are Prepared,Likely,0.0,unemployed,Single,AOB,1.0,0.0,1919,rent
Alachua,random,61,17000,302054,55.0,131,Associate's degree,Unknown,Very likely,0.0,not in labor force,Single,A10,,1.0,1969,rent
Alachua,random,36,10000,325492,100.0,131,"Some college, no degree",Individuals who are Prepared,Very likely,0.0,employed,Single,AE,,1.0,1974,own
St. Johns,base,55,32000,468250,71.1,134,"Some college, no degree",Individuals who are Prepared,Likely,1.0,employed,Married with spouse present,AE,-1.0,2.0,1972,own
St. Johns,max,95,1479000,1275000,160.0,134,Bachelor's degree,Very likely,Very likely,2.0,employed,Married with spouse present,AE,-1.0,2.0,1972,own
St. Johns,min,18,1,339675,25.0,134,"Some college, no degree",Individuals who are Prepared,Likely,0.0,unemployed,Single,AE,-1.0,2.0,1972,rent
St. Johns,random,63,63000,593787,95.0,134,"Some college, no degree",Individuals who are Prepared,Likely,0.0,not in labor force,Married with spouse present,AE,-1.0,2.0,1972,own
St. Johns,random,44,95000,509050,55.0,134,"Some college, no degree",Individuals who are Prepared,Likely,0.0,employed,Divorced,AE,-1.0,2.0,1972,rent
Bay,base,53,35000,355000,70.4,119,High school degree or diploma,Individuals who are Prepared,Very likely,1.0,employed,Married with spouse present,AE,,0.0,1943,own
Bay,max,95,806000,1016550,160.0,119,Bachelor's degree,Very likely,Very likely,2.0,employed,Married with spouse present,AOB,1.0,0.0,1919,own
Bay,min,18,4,275000,25.0,119,High school degree or diploma,Individuals who are Prepared,Unlikely,0.0,unemployed,Single,AOB,1.0,0.0,1919,rent
Bay,random,43,50000,418816,50.0,119,High school degree or diploma,Individuals who are Prepared,Very likely,1.0,not in labor force,Widowed,X,,3.0,1976,own
Bay,random,19,107200,409054,105.0,119,High school degree or diploma,Individuals who are Prepared,Very likely,1.0,not in labor force,Divorced,AE,,,1953,own
